0	2025-11-28 18:51:46.003257		PnP Event: Connect	DOWN	0x0	5c 00 3f 00 3f 00 5c 00 55 00 53 00 42 00 23 00 56 00 49 00 44 00 5f 00 30 00 36 00 37 00 42 00 26 00 50 00 49 00 44 00 5f 00 32 00 33 00 30 00 33 00 23 00 36 00 26 00 32 00 64 00 61 00 30 00 65 00 61 00 63 00 35 00 26 00 30 00 26 00 34 00 23 00 7b 00 30 00 31 00 30 00 30 00 66 00 64 00 64 00 37 00 2d 00 62 00 65 00 35 00 61 00 2d 00 34 00 38 00 30 00 38 00 2d 00 39 00 31 00 66 00 35 00 2d 00 30 00 35 00 30 00 30 00 32 00 62 00 63 00 36 00 30 00 66 00 37 00 32 00 7d 00 	\.?.?.\.U.S.B.#.V.I.D._.0.6.7.B.&.P.I.D._.2.3.0.3.#.6.&.2.d.a.0.e.a.c.5.&.0.&.4.#.{.0.1.0.0.f.d.d.7.-.b.e.5.a.-.4.8.0.8.-.9.1.f.5.-.0.5.0.0.2.b.c.6.0.f.7.2.}.
49	2025-11-28 18:51:49.411429	0.000005	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_SET_LINE_CONTROL]]]	DOWN	0x0	00 00 08 	...
51	2025-11-28 18:51:49.411434	0.000004	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_SET_CHARS]]]	DOWN	0x0	1a 00 00 1a 11 13 	......
53	2025-11-28 18:51:49.411444	0.000007	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_SET_HANDFLOW]]]	DOWN	0x0	00 00 00 00 00 00 00 00 00 04 00 00 00 04 00 00 	................
55	2025-11-28 18:51:49.411468	0.000023	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_CLR_DTR]]]	DOWN	0x0		
57	2025-11-28 18:51:49.411477	0.000006	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_SET_TIMEOUTS]]]	DOWN	0x0	ff ff ff ff ff ff ff ff e8 03 00 00 00 00 00 00 10 27 00 00 	.................'..
59	2025-11-28 18:51:49.411498	0.000019	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_SET_WAIT_MASK]]]	DOWN	0x0	fb 01 00 00 	....
61	2025-11-28 18:51:49.411990	0.000489	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_SET_QUEUE_SIZE]]]	DOWN	0x0	00 10 00 00 00 08 00 00 	........
64	2025-11-28 18:51:49.412018	0.000007	IRP_MJ_WRITE	DOWN	0x0	ab cd 08 00 e2 6d 10 e6 6e f6 57 1a ad a3 dc ba 	.....m..n.W.....
67	2025-11-28 18:51:49.426277	0.000020	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 	....................
68	2025-11-28 18:51:49.440480	0.014204	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
70	2025-11-28 18:51:49.440613	0.000011	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
72	2025-11-28 18:51:49.440919	0.000015	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
74	2025-11-28 18:51:49.440949	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
77	2025-11-28 18:51:49.441942	0.000006	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
79	2025-11-28 18:51:49.441952	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
81	2025-11-28 18:51:49.441976	0.000008	IRP_MJ_READ	UP	0x0	ab cd 38 00 e3 6d 20 e6 1b bf 3d 70 0f 05 e2 40 13 03 e9 7c 7f fb 16 42 2e 91 0d 40 b0 76 5f 07 9b 84 ce cd 6b 5e 4e ec 8d ae bb 24 79 24 d5 60 07 13 e9 a0 03 7c 14 c6 2e 91 0d 40 ff ff 	..8..m ...=p...@...|..B...@.v_.....k^N....$y$.`.....|.....@..
82	2025-11-28 18:51:49.443550	0.001574	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
84	2025-11-28 18:51:49.443618	0.000005	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 	....................
86	2025-11-28 18:51:49.443650	0.000005	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
88	2025-11-28 18:51:49.443683	0.000015	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 	....................
91	2025-11-28 18:51:49.457964	0.000011	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 	....................
93	2025-11-28 18:51:49.457978	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 	....................
95	2025-11-28 18:51:49.458005	0.000007	IRP_MJ_READ	UP	0x0	dc ba 	..
96	2025-11-28 18:51:49.458432	0.000426	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_SET_WAIT_MASK]]]	DOWN	0x0	00 00 00 00 	....
98	2025-11-28 18:51:49.458449	0.000007	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	00 00 00 00 	....
99	2025-11-28 18:51:49.458464	0.000014	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_CLR_DTR]]]	DOWN	0x0		
101	2025-11-28 18:51:49.458492	0.000009	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_PURGE]]]	DOWN	0x0	0a 00 00 00 	....
103	2025-11-28 18:51:49.458507	0.000007	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_PURGE]]]	DOWN	0x0	05 00 00 00 	....
105	2025-11-28 18:51:49.488536	0.030025	IRP_MJ_CLOSE	DOWN	0x0		
106	2025-11-28 18:51:49.514063	0.025528	IRP_MJ_CLOSE	UP	0x0		
107	2025-11-28 18:51:49.537663	0.023600	IRP_MJ_CREATE - process [[[b6524]]] (C:\Program Files (x86)\TK11\TK11.exe)	DOWN	0x0		
108	2025-11-28 18:51:49.609883	0.072220	IRP_MJ_CREATE	UP	0x0		
110	2025-11-28 18:51:49.609935	0.000005	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_PROPERTIES]]]	UP	0x0	40 00 02 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 01 00 00 00 ff 00 00 00 7f 00 00 00 ff ff 07 10 0f 00 07 1f 00 00 00 00 00 10 00 00 00 00 00 00 00 00 00 00 00 00 00 00 	@..............................................................
112	2025-11-28 18:51:49.613262	0.003302	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_MODEMSTATUS]]]	UP	0x0	f0 00 00 00 	....
114	2025-11-28 18:51:49.613269	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_BAUD_RATE]]]	UP	0x0	00 96 00 00 	....
116	2025-11-28 18:51:49.613272	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_LINE_CONTROL]]]	UP	0x0	00 00 08 	...
118	2025-11-28 18:51:49.613275	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_CHARS]]]	UP	0x0	1a 00 00 1a 11 13 	......
120	2025-11-28 18:51:49.613279	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_HANDFLOW]]]	UP	0x0	00 00 00 00 00 00 00 00 00 08 00 00 00 02 00 00 	................
122	2025-11-28 18:51:49.613285	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_BAUD_RATE]]]	UP	0x0	00 96 00 00 	....
124	2025-11-28 18:51:49.613288	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_LINE_CONTROL]]]	UP	0x0	00 00 08 	...
126	2025-11-28 18:51:49.613291	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_CHARS]]]	UP	0x0	1a 00 00 1a 11 13 	......
128	2025-11-28 18:51:49.613294	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_HANDFLOW]]]	UP	0x0	00 00 00 00 00 00 00 00 00 08 00 00 00 02 00 00 	................
129	2025-11-28 18:51:49.613298	0.000004	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_SET_BAUD_RATE]]]	DOWN	0x0	00 96 00 00 	....
131	2025-11-28 18:51:49.623351	0.000044	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_CLR_RTS]]]	DOWN	0x0		
133	2025-11-28 18:51:49.623395	0.000009	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_CLR_DTR]]]	DOWN	0x0		
135	2025-11-28 18:51:49.623404	0.000006	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_SET_LINE_CONTROL]]]	DOWN	0x0	00 00 08 	...
137	2025-11-28 18:51:49.623410	0.000004	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_SET_CHARS]]]	DOWN	0x0	1a 00 00 1a 11 13 	......
139	2025-11-28 18:51:49.623417	0.000003	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_SET_HANDFLOW]]]	DOWN	0x0	00 00 00 00 00 00 00 00 00 04 00 00 00 04 00 00 	................
142	2025-11-28 18:51:49.623430	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_BAUD_RATE]]]	UP	0x0	00 96 00 00 	....
144	2025-11-28 18:51:49.623434	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_LINE_CONTROL]]]	UP	0x0	00 00 08 	...
146	2025-11-28 18:51:49.623438	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_CHARS]]]	UP	0x0	1a 00 00 1a 11 13 	......
148	2025-11-28 18:51:49.623442	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_HANDFLOW]]]	UP	0x0	00 00 00 00 00 00 00 00 00 04 00 00 00 04 00 00 	................
149	2025-11-28 18:51:49.623447	0.000005	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_SET_BAUD_RATE]]]	DOWN	0x0	00 96 00 00 	....
151	2025-11-28 18:51:49.633479	0.000025	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_CLR_RTS]]]	DOWN	0x0		
153	2025-11-28 18:51:49.633509	0.000009	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_CLR_DTR]]]	DOWN	0x0		
155	2025-11-28 18:51:49.633526	0.000005	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_SET_LINE_CONTROL]]]	DOWN	0x0	00 00 08 	...
157	2025-11-28 18:51:49.633531	0.000003	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_SET_CHARS]]]	DOWN	0x0	1a 00 00 1a 11 13 	......
159	2025-11-28 18:51:49.633537	0.000003	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_SET_HANDFLOW]]]	DOWN	0x0	00 00 00 00 00 00 00 00 00 04 00 00 00 04 00 00 	................
161	2025-11-28 18:51:49.633546	0.000008	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_CLR_DTR]]]	DOWN	0x0		
163	2025-11-28 18:51:49.633555	0.000006	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_SET_TIMEOUTS]]]	DOWN	0x0	ff ff ff ff ff ff ff ff e8 03 00 00 00 00 00 00 10 27 00 00 	.................'..
165	2025-11-28 18:51:49.633569	0.000013	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_SET_WAIT_MASK]]]	DOWN	0x0	fb 01 00 00 	....
167	2025-11-28 18:51:49.633870	0.000299	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_SET_QUEUE_SIZE]]]	DOWN	0x0	00 10 00 00 00 08 00 00 	........
170	2025-11-28 18:51:49.633899	0.000018	IRP_MJ_WRITE	DOWN	0x0	ab cd 10 00 ed 6d 18 e6 2e 81 04 40 21 37 d5 40 53 64 b3 da d7 b6 dc ba 	.....m.....@!7.@Sd......
173	2025-11-28 18:51:49.647196	0.000011	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 	....................
175	2025-11-28 18:51:49.663083	0.000018	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 	....................
176	2025-11-28 18:51:49.667385	0.004302	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
178	2025-11-28 18:51:49.667496	0.000009	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
180	2025-11-28 18:51:49.667551	0.000013	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
182	2025-11-28 18:51:49.667580	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
185	2025-11-28 18:51:49.679060	0.000016	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
187	2025-11-28 18:51:49.679083	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
189	2025-11-28 18:51:49.679131	0.000013	IRP_MJ_READ	UP	0x0	ab cd 0c 02 ea 6d 1c e4 2e 81 04 40 21 37 d5 40 1b 0b e1 85 13 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 	.....m.....@!7.@.........n....*.........n....*.........n....
190	2025-11-28 18:51:49.683665	0.004534	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
192	2025-11-28 18:51:49.683740	0.000006	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
194	2025-11-28 18:51:49.683774	0.000006	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
196	2025-11-28 18:51:49.683796	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
199	2025-11-28 18:51:49.694977	0.000020	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
201	2025-11-28 18:51:49.695003	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
203	2025-11-28 18:51:49.695055	0.000013	IRP_MJ_READ	UP	0x0	2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf 	*.........n....*.........n....*.........n....*.........n..
204	2025-11-28 18:51:49.699630	0.004575	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
206	2025-11-28 18:51:49.699740	0.000007	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
208	2025-11-28 18:51:49.699805	0.000013	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
210	2025-11-28 18:51:49.699835	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
213	2025-11-28 18:51:49.711050	0.000021	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
215	2025-11-28 18:51:49.711076	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
217	2025-11-28 18:51:49.711125	0.000013	IRP_MJ_READ	UP	0x0	de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e 	..*.........n....*.........n....*.........n....*.........n
218	2025-11-28 18:51:49.715978	0.004852	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
220	2025-11-28 18:51:49.716162	0.000013	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
222	2025-11-28 18:51:49.716245	0.000016	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
224	2025-11-28 18:51:49.716279	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
227	2025-11-28 18:51:49.727028	0.000020	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
229	2025-11-28 18:51:49.727055	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
231	2025-11-28 18:51:49.727107	0.000014	IRP_MJ_READ	UP	0x0	f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 	....*.........n....*.........n....*.........n....*........
232	2025-11-28 18:51:49.732130	0.005023	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
234	2025-11-28 18:51:49.732318	0.000013	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
236	2025-11-28 18:51:49.732390	0.000015	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
238	2025-11-28 18:51:49.732432	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
